UID          PID    PPID  C STIME TTY          TIME CMD
tom          913     840  0 21:03 ?        00:00:00 /usr/bin/pipewire-media-session
tom          914     840  0 21:03 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
tom          915     840  0 21:03 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
tom          919       1  0 21:03 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
rtkit        925       1  0 21:03 ?        00:00:00 /usr/libexec/rtkit-daemon
tom          929     840  0 21:03 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
tom          932     826  0 21:03 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
tom          937     840  0 21:03 ?        00:00:00 /usr/libexec/gvfsd
tom          940     932  0 21:03 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
tom          945     840  0 21:03 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
tom          994     840  0 21:04 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
tom         1021     840  0 21:04 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
tom         1034     840  0 21:04 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
tom         1041     840  0 21:04 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
tom         1053     840  0 21:04 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
tom         1063     840  0 21:04 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
tom         1069     840  0 21:04 ?        00:00:00 /usr/libexec/goa-daemon
tom         1074     840  7 21:04 ?        00:01:13 /usr/bin/gnome-shell
tom         1077    1034  0 21:04 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
tom         1085    1077  0 21:04 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
tom         1121     840  0 21:04 ?        00:00:00 /usr/libexec/goa-identity-service
tom         1123     840  0 21:04 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
tom         1127     840  0 21:04 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root        1134       1  0 21:04 ?        00:00:00 /usr/libexec/upowerd
tom         1156     840  0 21:04 ?        00:00:00 /usr/libexec/xdg-permission-store
tom         1161     840  0 21:04 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
tom         1167     840  0 21:04 ?        00:00:00 /usr/libexec/evolution-source-registry
tom         1175     840  0 21:04 ?        00:00:00 /usr/libexec/evolution-calendar-factory
tom         1183     840  0 21:04 ?        00:00:00 /usr/libexec/dconf-service
tom         1190     840  0 21:04 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        1205       1  0 21:04 ?        00:00:00 /usr/libexec/packagekitd
tom         1212     937  0 21:04 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
tom         1221     840  0 21:04 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
tom         1223     840  0 21:04 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
tom         1228     840  0 21:04 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
tom         1230     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-a11y-settings
tom         1232     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-color
tom         1233    1228  0 21:04 ?        00:00:01 /usr/bin/ibus-daemon --panel disable
tom         1235     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-datetime
tom         1240     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-housekeeping
tom         1242     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-keyboard
tom         1246     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-media-keys
tom         1247     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-power
tom         1250     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-print-notifications
tom         1251     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-rfkill
tom         1252     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
tom         1267     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-sharing
tom         1269     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-smartcard
tom         1275     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-sound
tom         1277     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-wacom
tom         1307    1233  0 21:04 ?        00:00:00 /usr/libexec/ibus-memconf
tom         1308    1233  0 21:04 ?        00:00:02 /usr/libexec/ibus-extension-gtk3
tom         1310    1034  0 21:04 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
tom         1320     840  0 21:04 ?        00:00:00 /usr/libexec/ibus-portal
tom         1325    1034  0 21:04 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
tom         1353     840  0 21:04 ?        00:00:00 /usr/libexec/gsd-printer
tom         1392    1233  0 21:04 ?        00:00:00 /usr/libexec/ibus-engine-simple
colord      1410       1  0 21:04 ?        00:00:00 /usr/libexec/colord
tom         1415     840  0 21:04 ?        00:00:00 /usr/libexec/xdg-desktop-portal
tom         1420     840  0 21:04 ?        00:00:00 /usr/libexec/xdg-document-portal
root        1425    1420  0 21:04 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
tom         1429     840  0 21:04 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
tom         1454     840  0 21:04 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
tom         1464    1074  0 21:04 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:74:0:0
tom         1501     840  0 21:04 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
tom         1569     915  0 21:04 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
tom         1583     840  0 21:04 ?        00:00:00 /usr/libexec/gvfsd-metadata
tom         1642    1034  0 21:05 ?        00:00:00 update-notifier
tom         1713     840  0 21:06 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
tom         1716    1713  0 21:06 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
tom         1721     840  0 21:06 ?        00:00:03 /usr/libexec/gnome-terminal-server
tom         1739    1721  0 21:06 pts/0    00:00:00 bash
root        3315       1  0 21:07 ?        00:00:00 /usr/sbin/ModemManager
tom        10805    1074  0 21:08 ?        00:00:05 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.EKEX41 -listen 4 -listen 5 -displayfd 6 -initfd 7
tom        10808     840  0 21:08 ?        00:00:00 /usr/libexec/gsd-xsettings
tom        10836     840  0 21:08 ?        00:00:00 /usr/libexec/ibus-x11
root       11303       2  0 21:09 ?        00:00:00 [kworker/u2:1-events_power_efficient]
tom        11544     840  0 21:09 ?        00:00:00 /usr/bin/snap userd
tom        12130    1074 10 21:14 ?        00:00:39 /snap/firefox/2356/usr/lib/firefox/firefox
root       12147       2  0 21:14 ?        00:00:00 [kworker/u2:2-events_unbound]
tom        12243   12130  0 21:14 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -parentBuildID 20230214170610 -prefsLen 21966 -prefMapSize 227802 -appDir /snap/firefox/2356/usr/lib/firefox/browser {ddb35d7b-79db-408a-89be-d82375d7441b} 12130 true socket
tom        12255   12130  0 21:14 ?        00:00:01 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 22107 -prefMapSize 227802 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {a64460c1-6346-4236-9186-52d276b1d8b6} 12130 true tab
tom        12417   12130  0 21:14 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 27652 -prefMapSize 227802 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {02b9eb88-8d5d-48a6-8577-74a54d8abfa8} 12130 true tab
tom        12679   12130  2 21:14 ?        00:00:09 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 28380 -prefMapSize 227802 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {1b04c962-3e40-49b5-9291-f88e6644221d} 12130 true tab
tom        12682   12130  0 21:14 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 28380 -prefMapSize 227802 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {4c66ce55-67f9-4e8a-931e-c191679596e7} 12130 true tab
tom        12714   12130  0 21:14 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 28589 -prefMapSize 227802 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {60316dbb-691c-45a6-9a9a-1d91d44de17b} 12130 true tab
tom        12739   12130  0 21:14 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -parentBuildID 20230214170610 -prefsLen 28589 -prefMapSize 227802 -appDir /snap/firefox/2356/usr/lib/firefox/browser {bf885134-bae7-4ee9-ad40-8f936f1883cc} 12130 true rdd
tom        12740   12130  0 21:14 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -parentBuildID 20230214170610 -sandboxingKind 0 -prefsLen 28589 -prefMapSize 227802 -appDir /snap/firefox/2356/usr/lib/firefox/browser {271563c6-b674-4e86-885e-c44d7a4e00dd} 12130 true utility
tom        12752   12130  0 21:14 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 28589 -prefMapSize 227802 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {be9e35f1-aae3-4b19-8665-8b580fc3183b} 12130 true tab
tom        13006     919  0 21:16 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root       13010       2  0 21:16 ?        00:00:00 [kworker/0:0-events]
tom        13324    1739  0 21:21 pts/0    00:00:00 ps -ef
